subject_id,beta_c_cCond,beta_e_cCond,beta_c_eCond,beta_e_eCond,alpha,alpha_cf,q_init
3718,-0.11796,2.2281,-1.6606,2.325,-0.68675,-1.5199,-0.0023761
3722,1.1253,1.0078,0.11513,1.5078,-1.3523,-0.14635,1.2329
3768,2.5504,3.3177,1.0761,2.6047,-1.6173,-1.5208,0.0041532
3770,1.7098,-0.97232,-0.31822,0.61622,0.047269,-0.70496,-1.395
3812,0.63885,-2.0291,0.43725,-1.2616,-3.1918,-0.31277,3.8565
3816,1.8538,3.0318,1.0965,2.6622,-1.7975,0.64832,0.21164
3817,1.0607,0.86045,0.43441,1.6904,-2.0825,1.2718,1.8237
3834,1.7187,-1.2776,-0.89009,1.4513,1.635,-1.7914,2.0756
3835,0.82106,0.51297,1.1479,1.1366,-0.72065,-2.807,4.6964
3838,-1.4329,1.4917,-1.5714,1.2797,0.21273,-0.48093,0.88717
3841,2.593,0.66776,-0.50669,2.7593,-3.0382,-4.9985,1.219
3844,0.57762,2.7456,0.68828,1.3677,-0.83881,-0.39906,0.34559
3848,2.2601,0.052595,2.0328,1.9052,-0.46534,-2.3745,0.99892
3853,2.4794,-0.37504,0.42132,1.4746,0.41768,-0.23663,1.6962
3855,1.8244,-0.5355,-0.17352,1.4867,-1.0146,-0.49415,2.0495
3856,1.3222,0.46203,-1.1924,1.606,-0.18914,0.96109,1.2224
3857,3.239,-0.31041,0.82958,2.6468,-1.7312,-3.6751,-0.06479
3861,2.7952,-0.18985,-0.16793,1.7991,-2.0579,-1.9892,0.70305
3862,1.0206,1.8834,-0.53143,0.12549,-1.0303,-0.12957,-1.4153
3871,0.62943,2.4573,1.5002,1.8944,-1.7378,-0.61598,0.76626
3878,1.2157,2.7976,1.1478,1.328,-1.6184,-1.118,-0.0546
3883,0.49029,2.4486,1.2763,1.342,0.11388,-5.1504,0.28025
3898,1.7705,1.4908,0.46617,1.5251,-0.25554,0.70528,2.0876
3994,0.50645,2.3458,0.14999,1.6944,0.72854,-2.1967,0.42288
3998,0.962,2.5677,-0.089834,2.4406,-1.4342,0.068157,0.74951
3999,1.3948,-0.11674,0.28715,0.1481,-2.6216,-0.88619,0.72553
4003,2.3582,2.198,0.32349,1.9353,0.3663,0.72225,0.95633
4007,0.29595,1.2712,-0.84081,1.0952,-1.1978,1.1933,1.3251
4008,1.6241,1.9556,1.0274,2.7127,0.38159,-0.28724,-0.084751
4011,1.6234,2.2892,-2.0312,1.224,0.89502,-0.21404,-0.79068
4016,2.474,0.090672,1.5655,2.8046,-0.67966,-0.80108,-0.64367
4022,1.4075,0.80547,0.18857,0.86989,1.3994,0.051723,2.045
4024,0.71946,-0.40319,-0.44747,-2.0593,2.2147,-0.15531,-0.046183
4028,1.6014,-1.3053,0.49819,1.7865,-1.1341,-0.89064,1.4423
4032,-0.39501,3.0678,2.0789,2.7661,-1.9222,-2.2022,-0.011484
4036,1.478,-1.9264,0.8872,0.60086,-0.71886,-1.4348,2.7785
4041,-0.092027,1.3718,-0.04999,1.5769,-0.57972,1.0894,2.7664
