ID,sim_num,block_order,learning_trial,sim_choice,sim_approach_reward
5641,1,1,1,2,0.45455
5641,1,1,2,1,0.090909
5641,1,1,3,1,0.63636
5641,1,1,4,1,0.45455
5641,1,1,5,1,-0.090909
5641,1,1,6,2,0.090909
5641,1,1,7,2,-0.090909
5641,1,1,8,1,0.45455
5641,1,1,9,1,-0.36364
5641,1,1,10,2,-0.63636
5641,1,1,11,2,-0.54545
5641,1,1,12,1,-0.090909
5641,1,1,13,2,-0.72727
5641,1,1,14,1,0.45455
5641,1,1,15,2,-0.45455
5641,1,1,16,2,-0.72727
5641,1,1,17,2,-0.27273
5641,1,1,18,2,-0.27273
5641,1,1,19,2,0.18182
5641,1,1,20,2,-0.090909
5641,1,1,21,2,-0.090909
5641,1,1,22,2,-0.090909
5641,1,1,23,2,-0.18182
5641,1,1,24,1,0.63636
5641,1,1,25,2,-0.45455
5641,1,1,26,2,-0.63636
5641,1,1,27,1,0.63636
5641,1,1,28,1,0.36364
5641,1,1,29,2,-0.36364
5641,1,1,30,2,-0.27273
5641,1,1,31,2,-0.45455
5641,1,1,32,2,-0.54545
5641,1,1,33,1,0.45455
5641,1,1,34,2,0.63636
5641,1,1,35,1,0.63636
5641,1,1,36,2,-0.45455
5641,1,1,37,2,-0.54545
5641,1,1,38,2,0.090909
5641,1,1,39,2,0.090909
5641,1,1,40,1,0.090909
5641,1,1,41,2,-0.72727
5641,1,1,42,2,0.27273
5641,1,1,43,1,0.63636
5641,1,1,44,1,0.45455
5641,1,1,45,2,-0.090909
5641,1,1,46,1,0.54545
5641,1,1,47,2,-0.54545
5641,1,1,48,1,0.72727
5641,1,1,49,2,-0.54545
5641,1,1,50,1,0.36364
5641,1,1,51,2,0.72727
5641,1,2,1,2,0.36364
5641,1,2,2,2,-0.81818
5641,1,2,3,2,-0.36364
5641,1,2,4,2,0.72727
5641,1,2,5,2,-0.27273
5641,1,2,6,1,-0.72727
5641,1,2,7,1,-0.45455
5641,1,2,8,2,0.54545
5641,1,2,9,2,-0.36364
5641,1,2,10,1,0.54545
5641,1,2,11,1,0.36364
5641,1,2,12,2,-0.72727
5641,1,2,13,1,0.72727
5641,1,2,14,2,-0.63636
5641,1,2,15,2,-0.63636
5641,1,2,16,2,-0.72727
5641,1,2,17,2,0.18182
5641,1,2,18,2,-0.27273
5641,1,2,19,1,-0.81818
5641,1,2,20,2,-0.63636
5641,1,2,21,1,0.72727
5641,1,2,22,2,-0.36364
5641,1,2,23,1,0.54545
5641,1,2,24,1,0.36364
5641,1,2,25,2,-0.45455
5641,1,2,26,2,-0.72727
5641,1,2,27,2,-0.36364
5641,1,2,28,2,-0.45455
5641,1,2,29,1,0.54545
5641,1,2,30,2,-0.81818
5641,1,2,31,1,0.72727
5641,1,2,32,1,0.54545
5641,1,2,33,2,0.090909
5641,1,2,34,2,0.81818
5641,1,2,35,1,0.36364
5641,1,2,36,1,-0.27273
5641,1,2,37,2,-0.36364
5641,1,2,38,2,0.45455
5641,1,2,39,2,-0.090909
5641,1,2,40,2,-0.63636
5641,1,2,41,1,0.72727
5641,1,2,42,1,0.36364
5641,1,2,43,2,-0.72727
5641,1,2,44,1,0.54545
5641,1,2,45,2,-0.36364
5641,1,2,46,2,-0.72727
5641,1,2,47,2,0.27273
5641,1,2,48,1,0.72727
5641,1,2,49,2,-0.63636
5641,1,2,50,1,0.36364
5641,1,2,51,2,-0.63636
5641,1,3,1,1,-0.090909
5641,1,3,2,2,-0.45455
5641,1,3,3,2,-0.36364
5641,1,3,4,1,0.27273
5641,1,3,5,2,0.36364
5641,1,3,6,2,-0.45455
5641,1,3,7,2,0.63636
5641,1,3,8,2,-0.27273
5641,1,3,9,1,0.18182
5641,1,3,10,2,-0.27273
5641,1,3,11,2,-0.090909
5641,1,3,12,1,0.63636
5641,1,3,13,2,-0.36364
5641,1,3,14,1,-0.18182
5641,1,3,15,1,0.36364
5641,1,3,16,2,-0.36364
5641,1,3,17,2,-0.090909
5641,1,3,18,2,-0.45455
5641,1,3,19,1,-0.81818
5641,1,3,20,2,-0.090909
5641,1,3,21,2,-0.63636
5641,1,3,22,1,0.36364
5641,1,3,23,2,-0.27273
5641,1,3,24,2,-0.45455
5641,1,3,25,1,0.36364
5641,1,3,26,1,0.18182
5641,1,3,27,2,-0.090909
5641,1,3,28,1,0.27273
5641,1,3,29,2,-0.45455
5641,1,3,30,2,-0.27273
5641,1,3,31,2,-0.45455
5641,1,3,32,1,0.63636
5641,1,3,33,2,0.45455
5641,1,3,34,2,-0.36364
5641,1,3,35,1,0.36364
5641,1,3,36,1,0.63636
5641,1,3,37,2,-0.36364
5641,1,3,38,2,-0.18182
5641,1,3,39,1,0.63636
5641,1,3,40,2,-0.27273
5641,1,3,41,1,0.63636
5641,1,3,42,1,0.27273
5641,1,3,43,2,-0.36364
5641,1,3,44,2,0.72727
5641,1,3,45,2,-0.72727
5641,1,3,46,2,-0.090909
5641,1,3,47,2,0.81818
5641,1,3,48,1,0.36364
5641,1,3,49,2,-0.27273
5641,1,3,50,1,-0.18182
5641,1,3,51,1,0.18182
5641,1,4,1,2,-0.18182
5641,1,4,2,2,0.36364
5641,1,4,3,2,0.090909
5641,1,4,4,1,-0.36364
5641,1,4,5,1,0.18182
5641,1,4,6,1,0.72727
5641,1,4,7,1,0.090909
5641,1,4,8,1,0.72727
5641,1,4,9,2,0.81818
5641,1,4,10,2,-0.81818
5641,1,4,11,1,0.45455
5641,1,4,12,1,0.18182
5641,1,4,13,2,-0.36364
5641,1,4,14,2,-0.18182
5641,1,4,15,2,-0.81818
5641,1,4,16,1,0.090909
5641,1,4,17,1,0.090909
5641,1,4,18,1,0.72727
5641,1,4,19,2,-0.18182
5641,1,4,20,2,-0.81818
5641,1,4,21,1,0.18182
5641,1,4,22,1,0.18182
5641,1,4,23,1,0.72727
5641,1,4,24,1,0.090909
5641,1,4,25,2,-0.36364
5641,1,4,26,1,-0.54545
5641,1,4,27,1,0.36364
5641,1,4,28,2,-0.81818
5641,1,4,29,1,-0.45455
5641,1,4,30,1,0.72727
5641,1,4,31,1,0.81818
5641,1,4,32,1,0.090909
5641,1,4,33,1,0.18182
5641,1,4,34,1,-0.72727
5641,1,4,35,2,-0.18182
5641,1,4,36,1,0.81818
5641,1,4,37,1,0.45455
5641,1,4,38,2,-0.36364
5641,1,4,39,2,-0.81818
5641,1,4,40,2,-0.36364
5641,1,4,41,1,0.45455
5641,1,4,42,2,-0.18182
5641,1,4,43,2,0.54545
5641,1,4,44,2,0.27273
5641,1,4,45,1,0.18182
5641,1,4,46,1,0.72727
5641,1,4,47,1,0.36364
5641,1,4,48,2,-0.81818
5641,1,4,49,1,-0.27273
5641,1,4,50,2,-0.18182
5641,1,4,51,2,-0.36364
5641,1,5,1,1,-0.090909
5641,1,5,2,1,0.090909
5641,1,5,3,2,0.45455
5641,1,5,4,2,-0.27273
5641,1,5,5,2,-0.090909
5641,1,5,6,2,0.54545
5641,1,5,7,2,0.54545
5641,1,5,8,2,-0.090909
5641,1,5,9,1,-0.090909
5641,1,5,10,1,-0.090909
5641,1,5,11,2,-0.36364
5641,1,5,12,1,0.63636
5641,1,5,13,2,0.18182
5641,1,5,14,1,0.63636
5641,1,5,15,2,-0.090909
5641,1,5,16,1,0.63636
5641,1,5,17,2,-0.18182
5641,1,5,18,1,-0.090909
5641,1,5,19,1,0.090909
5641,1,5,20,2,0.090909
5641,1,5,21,2,0.18182
5641,1,5,22,2,-0.090909
5641,1,5,23,2,-0.27273
5641,1,5,24,2,-0.18182
5641,1,5,25,1,0.54545
5641,1,5,26,2,0.090909
5641,1,5,27,1,0.63636
5641,1,5,28,2,-0.36364
5641,1,5,29,1,0.54545
5641,1,5,30,1,-0.090909
5641,1,5,31,2,-0.27273
5641,1,5,32,2,-0.090909
5641,1,5,33,1,0.27273
5641,1,5,34,2,-0.27273
5641,1,5,35,2,-0.27273
5641,1,5,36,2,0.090909
5641,1,5,37,1,0.54545
5641,1,5,38,1,0.45455
5641,1,5,39,1,0.18182
5641,1,5,40,1,0.54545
5641,1,5,41,1,0.72727
5641,1,5,42,2,-0.27273
5641,1,5,43,1,-0.090909
5641,1,5,44,1,0.63636
5641,1,5,45,1,0.45455
5641,1,5,46,1,-0.18182
5641,1,5,47,1,0.45455
5641,1,5,48,1,0.63636
5641,1,5,49,2,-0.090909
5641,1,5,50,2,-0.27273
5641,1,5,51,2,-0.54545
5641,1,6,1,2,-0.090909
5641,1,6,2,2,0.090909
5641,1,6,3,2,0.54545
5641,1,6,4,2,-0.45455
5641,1,6,5,2,-0.090909
5641,1,6,6,2,-0.18182
5641,1,6,7,2,0.090909
5641,1,6,8,2,-0.36364
5641,1,6,9,2,0.54545
5641,1,6,10,2,-0.45455
5641,1,6,11,1,-0.27273
5641,1,6,12,1,0.36364
5641,1,6,13,2,0.36364
5641,1,6,14,1,0.27273
5641,1,6,15,2,0.090909
5641,1,6,16,2,-0.090909
5641,1,6,17,2,0.090909
5641,1,6,18,2,0.090909
5641,1,6,19,2,0.18182
5641,1,6,20,2,-0.18182
5641,1,6,21,1,0.27273
5641,1,6,22,2,0.090909
5641,1,6,23,2,-0.090909
5641,1,6,24,2,-0.36364
5641,1,6,25,1,0.36364
5641,1,6,26,1,0.54545
5641,1,6,27,2,0.090909
5641,1,6,28,1,0.36364
5641,1,6,29,2,-0.45455
5641,1,6,30,1,0.45455
5641,1,6,31,2,-0.27273
5641,1,6,32,2,-0.45455
5641,1,6,33,1,0.18182
5641,1,6,34,2,-0.18182
5641,1,6,35,1,0.27273
5641,1,6,36,2,-0.090909
5641,1,6,37,2,-0.36364
5641,1,6,38,2,-0.36364
5641,1,6,39,1,0.27273
5641,1,6,40,1,0.45455
5641,1,6,41,2,0.090909
5641,1,6,42,2,0.18182
5641,1,6,43,2,0.18182
5641,1,6,44,1,-0.18182
5641,1,6,45,1,0.27273
5641,1,6,46,1,0.27273
5641,1,6,47,1,0.27273
5641,1,6,48,1,0.18182
5641,1,6,49,2,0.090909
5641,1,6,50,1,-0.090909
5641,1,6,51,1,0.45455
5641,2,7,1,2,0.45455
5641,2,7,2,1,0.090909
5641,2,7,3,2,0.63636
5641,2,7,4,1,0.45455
5641,2,7,5,2,-0.090909
5641,2,7,6,2,0.090909
5641,2,7,7,1,-0.090909
5641,2,7,8,1,0.45455
5641,2,7,9,1,-0.36364
5641,2,7,10,2,-0.63636
5641,2,7,11,2,-0.54545
5641,2,7,12,1,-0.090909
5641,2,7,13,2,-0.72727
5641,2,7,14,1,0.45455
5641,2,7,15,2,-0.45455
5641,2,7,16,2,-0.72727
5641,2,7,17,1,-0.27273
5641,2,7,18,2,-0.27273
5641,2,7,19,2,0.18182
5641,2,7,20,2,-0.090909
5641,2,7,21,1,-0.090909
5641,2,7,22,2,-0.090909
5641,2,7,23,2,-0.18182
5641,2,7,24,1,0.63636
5641,2,7,25,2,-0.45455
5641,2,7,26,2,-0.63636
5641,2,7,27,1,0.63636
5641,2,7,28,1,0.36364
5641,2,7,29,2,-0.36364
5641,2,7,30,2,-0.27273
5641,2,7,31,2,-0.45455
5641,2,7,32,2,-0.54545
5641,2,7,33,1,0.45455
5641,2,7,34,1,0.63636
5641,2,7,35,1,0.63636
5641,2,7,36,2,-0.45455
5641,2,7,37,1,-0.54545
5641,2,7,38,1,0.090909
5641,2,7,39,2,0.090909
5641,2,7,40,2,0.090909
5641,2,7,41,2,-0.72727
5641,2,7,42,2,0.27273
5641,2,7,43,1,0.63636
5641,2,7,44,1,0.45455
5641,2,7,45,1,-0.090909
5641,2,7,46,1,0.54545
5641,2,7,47,2,-0.54545
5641,2,7,48,1,0.72727
5641,2,7,49,2,-0.54545
5641,2,7,50,1,0.36364
5641,2,7,51,1,0.72727
5641,2,8,1,2,0.36364
5641,2,8,2,2,-0.81818
5641,2,8,3,2,-0.36364
5641,2,8,4,2,0.72727
5641,2,8,5,1,-0.27273
5641,2,8,6,1,-0.72727
5641,2,8,7,2,-0.45455
5641,2,8,8,1,0.54545
5641,2,8,9,2,-0.36364
5641,2,8,10,1,0.54545
5641,2,8,11,1,0.36364
5641,2,8,12,2,-0.72727
5641,2,8,13,1,0.72727
5641,2,8,14,2,-0.63636
5641,2,8,15,2,-0.63636
5641,2,8,16,2,-0.72727
5641,2,8,17,2,0.18182
5641,2,8,18,2,-0.27273
5641,2,8,19,2,-0.81818
5641,2,8,20,2,-0.63636
5641,2,8,21,1,0.72727
5641,2,8,22,2,-0.36364
5641,2,8,23,1,0.54545
5641,2,8,24,1,0.36364
5641,2,8,25,2,-0.45455
5641,2,8,26,2,-0.72727
5641,2,8,27,2,-0.36364
5641,2,8,28,2,-0.45455
5641,2,8,29,1,0.54545
5641,2,8,30,2,-0.81818
5641,2,8,31,1,0.72727
5641,2,8,32,1,0.54545
5641,2,8,33,2,0.090909
5641,2,8,34,1,0.81818
5641,2,8,35,1,0.36364
5641,2,8,36,2,-0.27273
5641,2,8,37,2,-0.36364
5641,2,8,38,2,0.45455
5641,2,8,39,2,-0.090909
5641,2,8,40,2,-0.63636
5641,2,8,41,1,0.72727
5641,2,8,42,1,0.36364
5641,2,8,43,2,-0.72727
5641,2,8,44,1,0.54545
5641,2,8,45,2,-0.36364
5641,2,8,46,2,-0.72727
5641,2,8,47,2,0.27273
5641,2,8,48,1,0.72727
5641,2,8,49,2,-0.63636
5641,2,8,50,1,0.36364
5641,2,8,51,2,-0.63636
5641,2,9,1,2,-0.090909
5641,2,9,2,1,-0.45455
5641,2,9,3,1,-0.36364
5641,2,9,4,2,0.27273
5641,2,9,5,1,0.36364
5641,2,9,6,2,-0.45455
5641,2,9,7,2,0.63636
5641,2,9,8,1,-0.27273
5641,2,9,9,2,0.18182
5641,2,9,10,2,-0.27273
5641,2,9,11,2,-0.090909
5641,2,9,12,1,0.63636
5641,2,9,13,2,-0.36364
5641,2,9,14,1,-0.18182
5641,2,9,15,2,0.36364
5641,2,9,16,2,-0.36364
5641,2,9,17,2,-0.090909
5641,2,9,18,2,-0.45455
5641,2,9,19,2,-0.81818
5641,2,9,20,2,-0.090909
5641,2,9,21,1,-0.63636
5641,2,9,22,1,0.36364
5641,2,9,23,1,-0.27273
5641,2,9,24,2,-0.45455
5641,2,9,25,1,0.36364
5641,2,9,26,2,0.18182
5641,2,9,27,1,-0.090909
5641,2,9,28,1,0.27273
5641,2,9,29,2,-0.45455
5641,2,9,30,2,-0.27273
5641,2,9,31,2,-0.45455
5641,2,9,32,1,0.63636
5641,2,9,33,1,0.45455
5641,2,9,34,2,-0.36364
5641,2,9,35,1,0.36364
5641,2,9,36,1,0.63636
5641,2,9,37,2,-0.36364
5641,2,9,38,2,-0.18182
5641,2,9,39,1,0.63636
5641,2,9,40,2,-0.27273
5641,2,9,41,1,0.63636
5641,2,9,42,1,0.27273
5641,2,9,43,2,-0.36364
5641,2,9,44,2,0.72727
5641,2,9,45,2,-0.72727
5641,2,9,46,2,-0.090909
5641,2,9,47,1,0.81818
5641,2,9,48,1,0.36364
