sim_beta_c_c,sim_beta_e_c,sim_beta_c_e,sim_beta_e_e,sim_alpha_choice,sim_alpha_cf,sim_q_init,fit_beta_c_c,fit_beta_e_c,fit_beta_c_e,fit_beta_e_e,fit_alpha_choice,fit_alpha_cf,fit_q_init
1.2684,-2.2434,-0.88074,-2.0835,-3.1334,-1.0873,-2.0548,0.73368,-1.5078,-1.9908,-2.4654,-1.0844,-0.85572,0.28465
-1.0323,1.6805,1.0356,0.39669,1.214,-1.5075,4.1603,-1.0402,1.841,1.4682,0.64629,0.17809,-2.6147,1.908
0.08413,-1.8642,1.5825,-0.11199,-4.1884,1.328,-1.5275,-0.06454,-1.5431,1.3277,-0.023997,-3.8869,1.2958,-0.14009
-1.0805,0.09343,-2.4395,-1.4183,-2.2905,-0.0062038,-4.5719,-0.86779,-0.075358,-0.93573,-0.23528,-1.5566,-0.18895,-0.82539
0.80516,0.86441,1.9368,-1.897,0.23387,2.0425,0.00054174,0.7427,0.54348,1.9295,-1.0288,0.48321,2.826,-0.041045
-0.94627,-1.9037,1.7419,-1.4891,-5.5282,1.094,-2.4506,-0.53846,-0.91896,1.8391,-1.9278,-3.4102,0.58825,-2.4471
-2.4345,-0.8654,-1.1716,2.1232,-3.3118,0.0031676,1.7369,-2.4005,-0.26265,-1.8511,2.2189,-3.568,1.1268,2.3354
2.1278,-1.0528,-2.252,2.132,0.48548,-1.0084,-3.9852,2.6441,0.25187,-1.6312,2.4454,1.0743,-1.511,-1.3225
0.64932,1.1653,1.6707,-1.7419,-6.0021,1.0143,-4.4836,0.48076,1.1199,1.9148,-0.86421,-4.3616,1.336,-2.6379
-1.7733,0.82625,-1.4227,-0.41497,1.2484,0.015924,1.0705,-2.043,1.0854,-2.8862,-0.22583,1.4788,-1.1357,-0.57565
-2.5291,-0.8306,1.924,-0.041621,-5.2112,-1.1495,-2.5522,-1.9504,0.63018,2.4504,0.95073,-4.1232,-2.1791,-2.0673
-2.2863,0.84795,1.5376,-2.2235,-1.4349,0.73197,-4.339,-1.1062,0.66039,1.4003,-1.3255,-1.3683,1.8194,-2.3008
-1.4879,0.53025,1.5676,0.31437,-3.3683,-1.0138,-4.38,-1.7865,0.20955,1.3881,0.61145,-0.79037,-3.3935,1.5886
-0.21322,-0.38739,1.0947,-0.32497,-0.54731,2.1018,-4.1151,-0.43243,-0.1321,0.88182,-0.19368,-0.28807,2.6939,-0.082684
-2.0268,0.021001,0.086048,1.5971,1.1237,-0.044158,3.2202,-0.8116,-0.22589,-0.67204,1.4398,1.2724,0.45683,0.95713
