"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition","task_version","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","task_part"
"pavlovia","0","2","0.0-0.0","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","","","","","","","","","",""
"fullscreen","1","3284","0.0-1.0","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","true","","","","","","","","",""
"preload","2","40229","0.0-2.0","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","true","false","[]","[]","[]","","","","",""
"audio-keyboard-response","3","43513","0.0-3.0","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","","","","","","3039.999999999999","audio/beep_loop.wav"," ","",""
"audio-button-response","4","46783","0.0-4.0","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","","","","","","3269","audio/shark.wav","4","",""
"audio-button-response","5","49231","0.0-5.0","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","","","","","","1440","audio/turtle.wav","1","",""
"preload","6","60906","0.0-6.0","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","true","false","[]","[]","[]","","","","",""
"html-keyboard-response","7","71816","0.0-7.0","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","","","","","","10908.599999999627","Welcome to the experiment. Press any key to begin and to advance the instructions."," ","",""
"learning-instructions","8","81655","0.0-8.0-0.0-0.0","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","
","","","","","","2091.7999999998137","<p> Welcome! Today you are going to play 6 different rounds of a decision-making game. </p><p> Use the mouse to click next to continue. </p>","","0","instructions"
"learning-instructions","9","87710","0.0-8.0-0.0-0.1","1891","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
""fullscreenexit"",""10"",""88522""
""blur"",""10"",""99296""
","""event"",""trial"",""time""
""blur"",""10"",""99296""
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""2301""
","""event"",""trial"",""time""
""fullscreenexit"",""10"",""88522""
","","","","","","3059.7000000001863","<p> You will start with a practice round to learn the rules. </p>","","0","instructions"
