"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition","task_version","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","task_part"
"pavlovia","0","7","0.0-0.0","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","","","","",""
"fullscreen","1","10592","0.0-1.0","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","true","","","","","","","","",""
"preload","2","15700","0.0-2.0","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","true","false","[]","[]","[]","","","","",""
"audio-keyboard-response","3","20665","0.0-3.0","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","4963.265306122449","audio/beep_loop.wav"," ","",""
"audio-button-response","4","40273","0.0-4.0","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","19609","audio/shark.wav","0","",""
"audio-button-response","5","43045","0.0-5.0","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1765","audio/turtle.wav","1","",""
"preload","6","48337","0.0-6.0","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","true","false","[]","[]","[]","","","","",""
"html-keyboard-response","7","50120","0.0-7.0","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1781.6000000014901","Welcome to the experiment. Press any key to begin and to advance the instructions."," ","",""
"learning-instructions","8","58785","0.0-8.0-0.0-0.0","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","918.6999999992549","<p> Welcome! Today you are going to play 6 different rounds of a decision-making game. </p><p> Use the mouse to click next to continue. </p>","","0","instructions"
"learning-instructions","9","64685","0.0-8.0-0.0-0.1","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","2895","<p> You will start with a practice round to learn the rules. </p>","","0","instructions"
"learning-instructions","10","73181","0.0-8.0-0.0-0.2","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","755.7999999970198","<p> Your goal in this round is to deliver sports equipment to three different parks. </p><p> You will need to deliver many types of equipment. </p></div>","","0","instructions"
"learning-instructions","11","83298","0.0-8.0-0.0-0.3","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1631.2999999970198","<p> On each turn, you will see one piece of sports equipment and three different parks.  </p><p> You need to select which park to deliver the equipment to.  </p>","","0","instructions"
"learning-instructions","12","98840","0.0-8.0-0.0-0.4","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","2265.800000000745","<p> You can select the park on the left by pressing the '1' key on your keyboard. <br>You can select the park in the middle by pressing the '2' key on your keyboard. <br>You can select the park on the right by pressing the '3' key on your keyboard.  </p><br><div class=""choice-instructions-grid""> <div class=""choice-option""><img src=""images/park1.png"" class=""choice-option-img"" stage=""instructions"" position=""0"" ><div class=""choice-option-text""> Press ""1."" </div></div><div class=""choice-option""><img src=""images/park2.png"" class=""choice-option-img"" stage=""instructions"" position=""1"" ><div class=""choice-option-text""> Press ""2."" </div></div><div class=""choice-option""><img src=""images/park3.png"" class=""choice-option-img"" stage=""instructions"" position=""2"" ><div class=""choice-option-text""> Press ""3."" </div></div></div>","","0","instructions"
"learning-instructions","13","105122","0.0-8.0-0.0-0.5","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","903","<p> If the kids in the park you chose like the equipment, they will be very happy! </p><div style='float: center;'><img src='images/check.png' width = '200' height = '200'></img>","","0","instructions"
"learning-instructions","14","111605","0.0-8.0-0.0-0.6","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","895.5999999977648","<p> But, if the kids in the park you chose do not like the equipment, they will be sad. </p><div style='float: center;'><img src='images/x.png' width = '200' height = '200'></img>","","0","instructions"
"learning-instructions","15","120537","0.0-8.0-0.0-0.7","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","2508.199999999255","<p> Importantly, the kids in each park like some pieces of sports equipment more than others. </p>","","0","instructions"
"learning-instructions","16","134176","0.0-8.0-0.0-0.8","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","7590.60000000149","<p> If you choose the best park for each piece of equipment, the kids there will usually be happy. </p>","","0","instructions"
"learning-instructions","17","142503","0.0-8.0-0.0-0.9","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1682.6000000014901","<p> However, even if you choose the best park for the equipment, the kids may sometimes be sad. </p>","","0","instructions"
"learning-instructions","18","150264","0.0-8.0-0.0-0.10","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","533.0999999977648","<p> Similarly, even if you choose the <i>wrong</i> park for the equipment, the kids may still be happy sometimes.","","0","instructions"
"learning-instructions","19","166598","0.0-8.0-0.0-0.11","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","11283.5","<p> For example, the best park for this soccer ball is this one.<div style='float: center;'><img src='images/i1.png' width = '500' height = '268'></img>","","0","instructions"
"learning-instructions","20","173610","0.0-8.0-0.0-0.12","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1728.0999999977648","<p> Let's see what happens if you choose this park for the soccer ball five times.","","0","instructions"
"learning-instructions","21","178872","0.0-8.0-0.0-0.13","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","3100.39999999851","<p> The kids are happy.<div style='float: left;'><img src='images/i2.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","22","182124","0.0-8.0-0.0-0.14","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1092.699999999255","<p> The kids are happy.<div style='float: left;'><img src='images/i3.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","23","184827","0.0-8.0-0.0-0.15","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","545","<p> The kids are happy.<div style='float: left;'><img src='images/i4.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","24","187998","0.0-8.0-0.0-0.16","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","964.3999999985099","<p> The kids are sad.<div style='float: left;'><img src='images/i5.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","25","191020","0.0-8.0-0.0-0.17","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","857.3000000007451","<p> The kids are happy.<div style='float: left;'><img src='images/i6.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","26","200189","0.0-8.0-0.0-0.18","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1905.5","<p> As you can see, selecting that park for the soccer ball made the kids happy most of the time, but not all the time.","","0","instructions"
"learning-instructions","27","208010","0.0-8.0-0.0-0.19","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1825.8999999985099","<p> Now let's see what happens if you choose a DIFFERENT park for the soccer ball 5 times.","","0","instructions"
"learning-instructions","28","211033","0.0-8.0-0.0-0.20","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","819.5","<p> The kids are sad.<div style='float: left;'><img src='images/i7.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","29","214718","0.0-8.0-0.0-0.21","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1486.5999999977648","<p> The kids are sad.<div style='float: left;'><img src='images/i8.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","30","218168","0.0-8.0-0.0-0.22","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","1285.4000000022352","<p> The kids are happy.<div style='float: left;'><img src='images/i9.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","31","221366","0.0-8.0-0.0-0.23","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","993.7000000029802","<p> The kids are sad.<div style='float: left;'><img src='images/i10.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","32","223994","0.0-8.0-0.0-0.24","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","423.30000000074506","<p> The kids are sad.<div style='float: left;'><img src='images/i11.png' width = '640' height = '360'></img>","","0","instructions"
"learning-instructions","33","232733","0.0-8.0-0.0-0.25","9999","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""9635""
","
","","","","","","623.6999999992549","<p> As you can see, selecting the wrong park for the soccer ball made the kids sad most of the time, but not all the time.","","0","instructions"
