"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition","task_version","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","task_part","left_choice","middle_choice","right_choice","choice_positions","correct_response","correct_position","key_press","option_selected","points","task_block","correct","stim_cat","block_condition","block_number"
"pavlovia","0","4","0.0-0.0","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","4852","0.0-1.0","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","true","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","10799","0.0-2.0","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","3","13304","0.0-3.0","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","2501.950113378685","audio/beep_loop.wav"," ","","","","","","","","","","","","","","","",""
"audio-button-response","4","15853","0.0-4.0","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","2548","audio/shark.wav","4","","","","","","","","","","","","","","","",""
"audio-button-response","5","19242","0.0-5.0","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","2380","audio/turtle.wav","1","","","","","","","","","","","","","","","",""
"preload","6","24937","0.0-6.0","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","27240","0.0-7.0","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","2301.60000000149","Welcome to the experiment. Press any key to begin and to advance the instructions."," ","","","","","","","","","","","","","","","",""
"learning-instructions","8","119532","0.0-8.0-0.0-0.0","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","84548.89999999851","<p> Welcome! Today you are going to play 6 different rounds of a decision-making game. </p><p> Use the mouse to click next to continue. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","507355","0.0-8.0-0.0-0.1","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","384726.1000000015","<p> You will start with a practice round to learn the rules. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","516397","0.0-8.0-0.0-0.2","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","1188.3999999985099","<p> Your goal in this round is to deliver sports equipment to three different parks. </p><p> You will need to deliver many types of equipment. </p></div>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","525455","0.0-8.0-0.0-0.3","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","575.6000000014901","<p> On each turn, you will see one piece of sports equipment and three different parks.  </p><p> You need to select which park to deliver the equipment to.  </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","12","554656","0.0-8.0-0.0-0.4","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","15926.60000000149","<p> You can select the park on the left by pressing the '1' key on your keyboard. <br>You can select the park in the middle by pressing the '2' key on your keyboard. <br>You can select the park on the right by pressing the '3' key on your keyboard.  </p><br><div class=""choice-instructions-grid""> <div class=""choice-option""><img src=""images/park1.png"" class=""choice-option-img"" stage=""instructions"" position=""0"" ><div class=""choice-option-text""> Press ""1."" </div></div><div class=""choice-option""><img src=""images/park2.png"" class=""choice-option-img"" stage=""instructions"" position=""1"" ><div class=""choice-option-text""> Press ""2."" </div></div><div class=""choice-option""><img src=""images/park3.png"" class=""choice-option-img"" stage=""instructions"" position=""2"" ><div class=""choice-option-text""> Press ""3."" </div></div></div>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","13","560760","0.0-8.0-0.0-0.5","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","726.3000000044703","<p> If the kids in the park you chose like the equipment, they will be very happy! </p><div style='float: center;'><img src='images/check.png' width = '200' height = '200'></img>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","14","600151","0.0-8.0-0.0-0.6","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","33808.60000000149","<p> But, if the kids in the park you chose do not like the equipment, they will be sad. </p><div style='float: center;'><img src='images/x.png' width = '200' height = '200'></img>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","15","607722","0.0-8.0-0.0-0.7","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","1144","<p> Importantly, the kids in each park like some pieces of sports equipment more than others. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","16","614973","0.0-8.0-0.0-0.8","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","1208.6000000014901","<p> If you choose the best park for each piece of equipment, the kids there will usually be happy. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","17","681320","0.0-8.0-0.0-0.9","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","59708.80000000447","<p> However, even if you choose the best park for the equipment, the kids may sometimes be sad. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","18","729626","0.0-8.0-0.0-0.10","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","41081.79999999702","<p> Similarly, even if you choose the <i>wrong</i> park for the equipment, the kids may still be happy sometimes.","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","19","745979","0.0-8.0-0.0-0.11","1734","2","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3876""
","
","","","","","","11296","<p> For example, the best park for this soccer ball is this one.<div style='float: center;'><img src='images/i1.png' width = '500' height = '268'></img>","","0","instructions","","","","","","","","","","","","","",""
